player_id,name,stats_url,year,overall_winrate,citizen_winrate,sheriff_winrate,mafia_winrate,don_winrate,total_games,citizen_games,sheriff_games,mafia_games,don_games,extra_points_avg_10_games,extra_points_mafia_avg,extra_points_don_avg,extra_points_citizen_avg,extra_points_sheriff_avg,overall_rank,citizen_rank,sheriff_rank,mafia_rank,don_rank,overall_score,player_category,region
5850,DocTopXayc,https://gomafia.pro/stats/5850,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5896,Кукумбер,https://gomafia.pro/stats/5896,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5896,Кукумбер,https://gomafia.pro/stats/5896,2024,60,59,75,50,60,42,27,4,6,5,0.88,0.03,0.06,0.11,0.05,651.0,110.0,439.0,856.0,439.0,12.148258269604272,Expert,far_east
5898,Никто .Аль Капоне.,https://gomafia.pro/stats/5898,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5898,Никто .Аль Капоне.,https://gomafia.pro/stats/5898,2024,53,50,40,100,0,32,22,5,4,1,0.78,0.18,0.0,0.07,0.06,1094.0,578.0,439.0,856.0,439.0,10.268406705207575,Advanced,far_east
5865,Саламандра,https://gomafia.pro/stats/5865,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5865,Саламандра,https://gomafia.pro/stats/5865,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5897,kuroko,https://gomafia.pro/stats/5897,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5897,kuroko,https://gomafia.pro/stats/5897,2024,44,57,100,40,0,16,7,1,5,3,0.56,0.16,0.0,0.01,0.0,1845.0,1548.0,439.0,856.0,439.0,7.866576273689893,Intermediate,far_east
5936,R1,https://gomafia.pro/stats/5936,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5936,R1,https://gomafia.pro/stats/5936,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5960,Лемурчик,https://gomafia.pro/stats/5960,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5960,Лемурчик,https://gomafia.pro/stats/5960,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5967,Vesta.,https://gomafia.pro/stats/5967,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5967,Vesta.,https://gomafia.pro/stats/5967,2024,40,43,0,0,100,20,14,0,4,2,0.25,0.0,0.0,0.04,0.0,1953.0,1127.0,439.0,856.0,439.0,7.559842649915027,Intermediate,far_east
6009,Суслик,https://gomafia.pro/stats/6009,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6009,Суслик,https://gomafia.pro/stats/6009,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
6011,Грыжа,https://gomafia.pro/stats/6011,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6011,Грыжа,https://gomafia.pro/stats/6011,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
6020,Grim,https://gomafia.pro/stats/6020,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6020,Grim,https://gomafia.pro/stats/6020,2024,38,18,0,100,100,16,11,1,3,1,0.88,0.23,0.0,0.06,0.0,1885.0,1525.0,439.0,856.0,439.0,7.743420844814326,Intermediate,far_east
6025,Эйс,https://gomafia.pro/stats/6025,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6025,Эйс,https://gomafia.pro/stats/6025,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
6031,DeletedNow,https://gomafia.pro/stats/6031,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6031,DeletedNow,https://gomafia.pro/stats/6031,2024,38,29,50,100,100,26,21,2,1,2,0.73,0.2,0.15,0.06,0.1,1571.0,1400.0,439.0,856.0,439.0,8.699298552003839,Advanced,far_east
6139,Френки,https://gomafia.pro/stats/6139,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6139,Френки,https://gomafia.pro/stats/6139,2024,50,53,0,43,67,28,17,1,7,3,0.89,0.11,0.2,0.06,0.0,1375.0,605.0,439.0,856.0,439.0,9.341608695307583,Advanced,far_east
6140,Кац,https://gomafia.pro/stats/6140,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6140,Кац,https://gomafia.pro/stats/6140,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
6141,Анонимка,https://gomafia.pro/stats/6141,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6141,Анонимка,https://gomafia.pro/stats/6141,2024,69,67,50,67,100,16,6,2,6,2,1.25,0.13,0.1,0.17,0.0,1034.0,1548.0,439.0,856.0,439.0,10.472855957149793,Advanced,far_east
6142,H.anna_montana,https://gomafia.pro/stats/6142,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6142,H.anna_montana,https://gomafia.pro/stats/6142,2024,50,67,0,33,33,12,6,0,3,3,0.67,0.1,0.03,0.07,0.0,1900.0,1548.0,439.0,856.0,439.0,7.6884083772200125,Intermediate,far_east
6143,Salem,https://gomafia.pro/stats/6143,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
6143,Salem,https://gomafia.pro/stats/6143,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
6201,Линкс,https://gomafia.pro/stats/6201,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
