player_id,name,stats_url,year,overall_winrate,citizen_winrate,sheriff_winrate,mafia_winrate,don_winrate,total_games,citizen_games,sheriff_games,mafia_games,don_games,extra_points_avg_10_games,extra_points_mafia_avg,extra_points_don_avg,extra_points_citizen_avg,extra_points_sheriff_avg
4927,Шмель,https://gomafia.pro/stats/4927,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4928,Kotlin,https://gomafia.pro/stats/4928,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4928,Kotlin,https://gomafia.pro/stats/4928,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4932,ВотТакВот,https://gomafia.pro/stats/4932,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4932,ВотТакВот,https://gomafia.pro/stats/4932,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4934,Ланда,https://gomafia.pro/stats/4934,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4934,Ланда,https://gomafia.pro/stats/4934,2024,45,50,0,0,0,,10 (91%),0 (0%),1 (9%),0 (0%),0.27,0,0,0.03,0
4936,Dayrin,https://gomafia.pro/stats/4936,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4936,Dayrin,https://gomafia.pro/stats/4936,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4937,Cage,https://gomafia.pro/stats/4937,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4937,Cage,https://gomafia.pro/stats/4937,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4938,Sol,https://gomafia.pro/stats/4938,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4938,Sol,https://gomafia.pro/stats/4938,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4939,Enjoi,https://gomafia.pro/stats/4939,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4939,Enjoi,https://gomafia.pro/stats/4939,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4940,Harvey,https://gomafia.pro/stats/4940,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4940,Harvey,https://gomafia.pro/stats/4940,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4941,Anika,https://gomafia.pro/stats/4941,2023,20,0,0,67,0,,5 (50%),2 (20%),3 (30%),0 (0%),0.6,0.2,0,0,0
4941,Anika,https://gomafia.pro/stats/4941,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4942,Мона,https://gomafia.pro/stats/4942,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4942,Мона,https://gomafia.pro/stats/4942,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4944,Morphiy,https://gomafia.pro/stats/4944,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4944,Morphiy,https://gomafia.pro/stats/4944,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4947,Сергеевна,https://gomafia.pro/stats/4947,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4947,Сергеевна,https://gomafia.pro/stats/4947,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4948,Гаечка__4948,https://gomafia.pro/stats/4948,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4948,Гаечка__4948,https://gomafia.pro/stats/4948,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4949,Луна Минск,https://gomafia.pro/stats/4949,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4949,Луна Минск,https://gomafia.pro/stats/4949,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4950,Каленка,https://gomafia.pro/stats/4950,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4950,Каленка,https://gomafia.pro/stats/4950,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4951,Булочка1,https://gomafia.pro/stats/4951,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4951,Булочка1,https://gomafia.pro/stats/4951,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4952,Госпожа Скай,https://gomafia.pro/stats/4952,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4952,Госпожа Скай,https://gomafia.pro/stats/4952,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4953,ШтормСаратов,https://gomafia.pro/stats/4953,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4953,ШтормСаратов,https://gomafia.pro/stats/4953,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4954,Mary Poppins,https://gomafia.pro/stats/4954,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4954,Mary Poppins,https://gomafia.pro/stats/4954,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4970,Баунти,https://gomafia.pro/stats/4970,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4970,Баунти,https://gomafia.pro/stats/4970,2024,54,47,69,67,50,,76 (59%),16 (12%),27 (21%),10 (8%),0.97,0.17,0.15,0.06,0.13
4974,Lestat,https://gomafia.pro/stats/4974,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4974,Lestat,https://gomafia.pro/stats/4974,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4984,ASTORIA,https://gomafia.pro/stats/4984,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4984,ASTORIA,https://gomafia.pro/stats/4984,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4986,No_Name,https://gomafia.pro/stats/4986,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4986,No_Name,https://gomafia.pro/stats/4986,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4991,Мишок,https://gomafia.pro/stats/4991,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4991,Мишок,https://gomafia.pro/stats/4991,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4994,Арктика,https://gomafia.pro/stats/4994,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4994,Арктика,https://gomafia.pro/stats/4994,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4995,Мать.,https://gomafia.pro/stats/4995,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4995,Мать.,https://gomafia.pro/stats/4995,2024,49,53,40,43,57,,59 (61%),10 (10%),21 (22%),7 (7%),0.59,0.06,0.1,0.05,0.07
4996,Voker,https://gomafia.pro/stats/4996,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4996,Voker,https://gomafia.pro/stats/4996,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4997,Панда из Руанды,https://gomafia.pro/stats/4997,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4997,Панда из Руанды,https://gomafia.pro/stats/4997,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4998,Юпитер,https://gomafia.pro/stats/4998,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4998,Юпитер,https://gomafia.pro/stats/4998,2024,40,39,45,31,60,,64 (69%),11 (12%),13 (14%),5 (5%),0.77,0.09,0.16,0.07,0.05
5007,DesertiK,https://gomafia.pro/stats/5007,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5007,DesertiK,https://gomafia.pro/stats/5007,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5009,Правда,https://gomafia.pro/stats/5009,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5009,Правда,https://gomafia.pro/stats/5009,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5011,Koks,https://gomafia.pro/stats/5011,2023,60,60,100,0,67,,5 (50%),1 (10%),1 (10%),3 (30%),0.4,0,0.1,0.02,0
5011,Koks,https://gomafia.pro/stats/5011,2024,18,22,0,0,0,,9 (82%),1 (9%),1 (9%),0 (0%),0.18,0,0,0.02,0
5012,Пекин,https://gomafia.pro/stats/5012,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5012,Пекин,https://gomafia.pro/stats/5012,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5015,Мышка,https://gomafia.pro/stats/5015,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5015,Мышка,https://gomafia.pro/stats/5015,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5016,Timmy,https://gomafia.pro/stats/5016,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5016,Timmy,https://gomafia.pro/stats/5016,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5020,Cap_кэп,https://gomafia.pro/stats/5020,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5020,Cap_кэп,https://gomafia.pro/stats/5020,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5021,Lina Минск,https://gomafia.pro/stats/5021,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5021,Lina Минск,https://gomafia.pro/stats/5021,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5026,S_Котовский,https://gomafia.pro/stats/5026,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5026,S_Котовский,https://gomafia.pro/stats/5026,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5028,S_Doc,https://gomafia.pro/stats/5028,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5028,S_Doc,https://gomafia.pro/stats/5028,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5029,Michael,https://gomafia.pro/stats/5029,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5029,Michael,https://gomafia.pro/stats/5029,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5038,Денди,https://gomafia.pro/stats/5038,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5038,Денди,https://gomafia.pro/stats/5038,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5039,Рарити,https://gomafia.pro/stats/5039,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5039,Рарити,https://gomafia.pro/stats/5039,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5058,Промах,https://gomafia.pro/stats/5058,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5058,Промах,https://gomafia.pro/stats/5058,2024,18,25,0,25,0,,4 (36%),2 (18%),4 (36%),1 (9%),0.27,0.05,0,0.03,0
5061,Гаджет,https://gomafia.pro/stats/5061,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5061,Гаджет,https://gomafia.pro/stats/5061,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5062,Стьюи,https://gomafia.pro/stats/5062,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5062,Стьюи,https://gomafia.pro/stats/5062,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5067,Кирилл,https://gomafia.pro/stats/5067,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5067,Кирилл,https://gomafia.pro/stats/5067,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5069,Подснежник,https://gomafia.pro/stats/5069,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5069,Подснежник,https://gomafia.pro/stats/5069,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5070,Пчела,https://gomafia.pro/stats/5070,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5070,Пчела,https://gomafia.pro/stats/5070,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
5071,Zhozefina,https://gomafia.pro/stats/5071,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
